periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Nitrat,10,0.099
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Nitrit,0.06,0.023
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,"Total P",0.2,0.791
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,F,1.5,0.183
2024,"Periode 1",2,"STR 5",Sunter,"Jl.  Alu alu Persahabatan",-6.202556,106.897083,Kimia,Hg,0.002,0.0001
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,"Klorin Bebas",0.03,0.0366
2024,"Periode 3",8,"KLT 5","Kalibaru Timur","Jl.  Outista III  Cipinang Cempedak",-6.231694,106.869667,Kimia,Hg,0.002,0.0001
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Cd,0.01,0.001
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Zn,0.05,0.01
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Cu,0.02,0.004
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,Pb,0.03,0.007
2024,"Periode 3",8,"BRN 5",Buaran,"Jl.  Swadaya",-6.186278,106.922556,Kimia,Hg,0.002,0.0001
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,"Minyak dan Lemak",1,0.9
2024,"Periode 1",2,"BRN 2",Buaran,"Jl.  Perumnas Raya  dekat Carl  039 s Jr",-6.220358,106.92413,Kimia,MBAS,0.2,0.266
